PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
3409991,"Seiya Suzuki",3200,SDP,OF,CHC,92796,167012,4.34,0.51,0.19,0.02,0.17,0.4,0.44,0.05,0.41,0,0,0,0,0,0,0,0,7.67,7.12,0.89,SDP,1.63,0,1.2259,1.73,,40,9.26,2.89,1.93,25.4,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,3409991
37230,"Mike Tauchman",2400,SDP,OF,CHC,92796,80847,4.24,0.46,0.13,0.01,0.09,0.34,0.36,0.106,0.56,0,0,0,0,0,0,0,0,6.66,6.07,0.69,SDP,1.11,0,1.252,1.39,,41,8.01,3.34,1.67,23.23,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,37230
2441503,"Christopher Morel",3600,SDP,OF/3B,CHC,92796,119318,4.08,0.39,0.16,0.05,0.27,0.42,0.44,0.065,0.32,0,0,0,0,0,0,0,0,8.2,7.78,0.87,SDP,1.94,0,1.4984,1.73,,42,10.08,2.8,1.79,27.75,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,2441503
4698717,"Matt Mervis",2600,SDP,1B,CHC,92796,182167,4.04,0.45,0.18,0.02,0.12,0.36,0.31,0.021,0.29,0,0,0,0,0,0,0,0,6.04,5.59,0.77,SDP,1.35,0,1.0631,1.44,,43,7.26,2.79,0.73,21.57,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,4698717
2039181,"Miles Mastrobuoni",2200,SDP,2B,CHC,92796,180208,3.91,0.48,0.18,0.02,0.09,0.34,0.31,0.059,0.38,0,0,0,0,0,0,0,0,6.27,5.78,0.77,SDP,1.26,0,0.9257,1.42,,44,7.49,3.4,1.49,21.14,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,2039181
14759,"Tucker Barnhart",2100,SDP,C,CHC,92796,13304,3.71,0.44,0.15,0,0.05,0.29,0.23,0.012,0.36,0,0,0,0,0,0,0,0,4.85,4.35,0.64,SDP,0.94,0,1.0484,1.16,,45,5.68,2.7,0.84,13.4,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,14759
35086,"Tim Anderson",3000,DET,SS,CHW,92782,60672,4.43,0.88,0.15,0.01,0.09,0.54,0.59,0.044,0.21,0,0,0,0,0,0,0,0,7.57,7.25,1.13,CHW,1.57,0,0.809,2.26,,46,9.36,3.12,2.93,24.57,0.0,0,0,0,0,0,,35086
35356,"Andrew Benintendi",2800,DET,OF,CHW,92782,68495,4.25,0.58,0.18,0.03,0.08,0.54,0.55,0.027,0.41,0,0,0,0,0,0,0,0,7.38,6.82,0.87,CHW,1.35,0,0.7259,1.96,,47,9.1,3.25,2.49,24.27,0.0,0,0,0,0,0,,35356
1558724,"Luis Robert",3400,DET,OF,CHW,92782,82734,4.2,0.65,0.19,0.01,0.18,0.58,0.6,0.031,0.22,0,0,0,0,0,0,0,0,8.08,7.7,1.03,CHW,1.78,0,0.8781,2.21,,48,10.09,2.97,2.66,27.55,0.0,0,0,0,0,0,,1558724
37999,"Eloy Jimenez",3300,DET,OF,CHW,92782,79093,4.08,0.63,0.14,0,0.2,0.55,0.62,0.009,0.33,0,0,0,0,0,0,0,0,8.06,7.6,0.97,CHW,1.71,0,0.8781,2.14,,49,10.04,3.04,2.62,27.23,0.0,0,0,0,0,0,,37999
35706,"Yoan Moncada",3000,DET,3B,CHW,92782,61553,4.02,0.41,0.17,0.02,0.11,0.53,0.52,0.015,0.5,0,0,0,0,0,0,0,0,7.1,6.45,0.71,CHW,1.25,0,1.0472,1.76,,50,8.77,2.92,2.11,24.6,0.0,0,0,0,0,0,,35706
2038711,"Andrew Vaughn",3300,DET,1B,CHW,92782,119495,3.91,0.53,0.16,0,0.13,0.51,0.49,0.002,0.32,0,0,0,0,0,0,0,0,6.84,6.36,0.82,CHW,1.37,0,0.7009,1.82,,51,8.45,2.56,1.84,23.63,0.0,0,0,0,0,0,,2038711
13483,"Yasmani Grandal",2700,DET,C,CHW,92782,13303,3.88,0.39,0.1,0,0.13,0.48,0.47,0.006,0.65,0,0,0,0,0,0,0,0,6.92,6.18,0.62,CHW,1.11,0,0.8285,1.57,,52,8.48,3.14,2.35,23.43,0.0,0,0,0,0,0,,13483
2440836,"Gavin Sheets",2900,DET,1B/OF,CHW,92782,82569,3.55,0.38,0.12,0,0.17,0.48,0.43,0.006,0.35,0,0,0,0,0,0,0,0,6.44,5.97,0.67,CHW,1.3,0,0.7261,1.58,,53,8.01,2.76,1.51,23.02,0.0,0,0,0,0,0,,2440836
10476,"Elvis Andrus",2500,DET,SS/2B,CHW,92782,5359,3.64,0.56,0.13,0.01,0.07,0.45,0.38,0.035,0.25,0,0,0,0,0,0,0,0,5.85,5.5,0.77,CHW,1.13,0,0.5394,1.6,,54,7.21,2.88,1.92,19.77,0.0,0,0,0,0,0,,10476
2109971,"Terry Friedl",2800,MIL,OF,CIN,92787,102296,4.71,0.68,0.16,0.02,0.22,0.66,0.73,0.084,0.52,0,0,0,0,0,0,0,0,10.08,9.47,1.08,CIN,1.94,0,0.7981,2.47,,55,12.57,4.49,3.58,34.57,22.04,0.0423,0.0328,0.0687,-0.0264,1.2,,2109971
