PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
1044326,"Josh Naylor",3500,MIN,1B,CLE,92793,874243,4.45,0.61,0.27,0,0.15,0.4,0.41,0.019,0.32,0,0,0,0,0,0,0,0,7.62,7.05,1.03,MIN,1.75,0,0.7417,1.84,,67,7.05,2.01,1.6,19.44,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,1044326
1452778,"Andres Gimenez",3800,MIN,2B,CLE,92793,917114,4.35,0.67,0.23,0.06,0.1,0.38,0.42,0.092,0.4,0,0,0,0,0,0,0,0,8.02,7.49,1.06,MIN,1.71,0,0.9024,1.86,,68,7.49,1.97,2.42,18.94,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,1452778
2039958,"Gabriel Arias",2600,MIN,1B/OF,CLE,92793,1072529,4.32,0.54,0.2,0.02,0.1,0.36,0.35,0.024,0.47,0,0,0,0,0,0,0,0,6.98,6.33,0.86,MIN,1.4,0,1.2437,1.57,,69,6.33,2.43,1.51,17.52,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,2039958
3832824,"Will Brennan",2300,MIN,OF,CLE,92793,1159716,4.13,0.71,0.2,0.06,0.07,0.35,0.34,0.037,0.26,0,0,0,0,0,0,0,0,6.84,6.41,1.04,MIN,1.57,0,0.6852,1.73,,70,6.41,2.79,0.64,16.66,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,3832824
15860,"Mike Zunino",2700,MIN,C,CLE,92793,502422,3.84,0.26,0.14,0,0.14,0.32,0.24,0.003,0.41,0,0,0,0,0,0,0,0,5.35,4.81,0.54,MIN,1.1,0,1.5864,1.1,,71,4.81,1.78,0.48,15.69,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,15860
538921,"Myles Straw",2100,MIN,OF,CLE,92793,875569,4.01,0.6,0.17,0.05,0.01,0.31,0.28,0.077,0.44,0,0,0,0,0,0,0,0,6.19,5.65,0.83,MIN,1.13,0,0.7838,1.42,,72,5.65,2.69,0.57,15.91,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,538921
11306,"Charlie Blackmon",4800,KCR,OF,COL,92790,454446,4.94,0.9,0.19,0.06,0.09,0.51,0.58,0.014,0.57,0,0,0,0,0,0,0,0,9.1,8.35,1.24,KCR,1.82,0,0.6314,2.33,,73,8.35,1.74,2.57,21.56,4.28,0.0533,0.0537,0.0656,-0.0123,5.3,,11306
13551,"Jurickson Profar",3900,KCR,OF,COL,92790,549315,4.7,0.7,0.22,0.03,0.09,0.49,0.53,0.023,0.61,0,0,0,0,0,0,0,0,8.58,7.77,1.04,KCR,1.59,0,0.6205,2.06,,74,7.77,1.99,2.79,19.06,4.22,0.0533,0.0537,0.0656,-0.0123,5.3,,13551
37483,"Ryan McMahon",4800,KCR,3B,COL,92790,737539,4.75,0.68,0.2,0,0.15,0.5,0.52,0.013,0.62,0,0,0,0,0,0,0,0,8.63,7.83,1.03,KCR,1.68,0,0.9692,2.05,,75,7.83,1.63,2.65,20.27,3.6,0.0533,0.0537,0.0656,-0.0123,5.3,,37483
22662,"Elias Diaz",4900,KCR,C,COL,92790,504943,4.56,0.72,0.2,0.02,0.16,0.5,0.53,0.001,0.42,0,0,0,0,0,0,0,0,8.47,7.86,1.1,KCR,1.82,0,0.7387,2.13,,76,7.86,1.6,2.37,20.41,6.05,0.0533,0.0537,0.0656,-0.0123,5.3,,22662
15357,"Randal Grichuk",4000,KCR,OF,COL,92790,500734,4.51,0.75,0.22,0.04,0.19,0.51,0.56,0.008,0.31,0,0,0,0,0,0,0,0,8.82,8.3,1.2,KCR,2.07,0,0.7981,2.27,,77,8.3,2.08,2.61,21.48,4.86,0.0533,0.0537,0.0656,-0.0123,5.3,,15357
1452976,"Elehuris Montero",2700,KCR,3B,COL,92790,872477,4.4,0.58,0.2,0.02,0.13,0.47,0.4,0.004,0.25,0,0,0,0,0,0,0,0,6.89,6.44,0.93,KCR,1.56,0,0.8675,1.8,,78,6.44,2.39,0.64,18.13,3.44,0.0533,0.0537,0.0656,-0.0123,5.3,,1452976
4061195,"Brenton Doyle",3600,KCR,OF,COL,92790,1169634,4.16,0.7,0.14,0.04,0.12,0.43,0.4,0.022,0.25,0,0,0,0,0,0,0,0,6.95,6.58,1,KCR,1.58,0,1.0247,1.83,,79,6.58,1.83,1.66,17.74,1.23,0.0533,0.0537,0.0656,-0.0123,5.3,,4061195
