PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
1266421,"Nico Hoerner",4900,SDP,2B,CHC,92796,1054431,4.61,0.71,0.19,0.04,0.09,0.4,0.43,0.128,0.29,0,0,0,0,0,0,0,0,7.55,7.2,1.03,SDP,1.57,0,0.6492,1.86,,37,7.2,1.47,1.76,19.34,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,1266421
35650,"Dansby Swanson",4700,SDP,SS,CHC,92796,659260,4.63,0.56,0.19,0.02,0.19,0.43,0.46,0.062,0.36,0,0,0,0,0,0,0,0,8.04,7.54,0.96,SDP,1.76,0,1.3066,1.85,,38,7.54,1.6,1.44,21.3,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,35650
36762,"Ian Happ",4100,SDP,OF,CHC,92796,827194,4.46,0.48,0.25,0.02,0.15,0.42,0.44,0.069,0.52,0,0,0,0,0,0,0,0,8.17,7.47,0.9,SDP,1.64,0,1.2779,1.76,,39,7.47,1.82,1.93,20.25,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,36762
3409991,"Seiya Suzuki",4300,SDP,OF,CHC,92796,727362,4.34,0.51,0.19,0.02,0.17,0.4,0.44,0.05,0.41,0,0,0,0,0,0,0,0,7.67,7.12,0.89,SDP,1.63,0,1.2259,1.73,,40,7.12,1.66,1.42,19.88,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,3409991
37230,"Mike Tauchman",2500,SDP,OF,CHC,92796,737856,4.24,0.46,0.13,0.01,0.09,0.34,0.36,0.106,0.56,0,0,0,0,0,0,0,0,6.66,6.07,0.69,SDP,1.11,0,1.252,1.39,,41,6.07,2.43,1.29,17.51,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,37230
2441503,"Christopher Morel",5400,SDP,OF,CHC,92796,1053442,4.08,0.39,0.16,0.05,0.27,0.42,0.44,0.065,0.32,0,0,0,0,0,0,0,0,8.2,7.78,0.87,SDP,1.94,0,1.4984,1.73,,42,7.78,1.44,1.28,21.53,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,2441503
4698717,"Matt Mervis",2100,SDP,1B,CHC,92796,918931,4.04,0.45,0.18,0.02,0.12,0.36,0.31,0.021,0.29,0,0,0,0,0,0,0,0,6.04,5.59,0.77,SDP,1.35,0,1.0631,1.44,,43,5.59,2.66,0.56,16.79,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,4698717
2039181,"Miles Mastrobuoni",2300,SDP,2B/OF,CHC,92796,918318,3.91,0.48,0.18,0.02,0.09,0.34,0.31,0.059,0.38,0,0,0,0,0,0,0,0,6.27,5.78,0.77,SDP,1.26,0,0.9257,1.42,,44,5.78,2.51,1.25,16.24,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,2039181
14759,"Tucker Barnhart",2000,SDP,C,CHC,92796,501601,3.71,0.44,0.15,0,0.05,0.29,0.23,0.012,0.36,0,0,0,0,0,0,0,0,4.85,4.35,0.64,SDP,0.94,0,1.0484,1.16,,45,4.35,2.18,0.56,10,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,14759
35086,"Tim Anderson",4500,DET,SS,CHW,92782,737508,4.43,0.88,0.15,0.01,0.09,0.55,0.6,0.044,0.21,0,0,0,0,0,0,0,0,7.59,7.27,1.13,CHW,1.57,0,0.8082,2.28,,46,7.27,1.62,1.9,20.1,0.0,0,0,0,0,0,,35086
35356,"Andrew Benintendi",3600,DET,OF,CHW,92782,738659,4.24,0.58,0.18,0.03,0.08,0.55,0.56,0.027,0.41,0,0,0,0,0,0,0,0,7.4,6.84,0.87,CHW,1.35,0,0.7251,1.98,,47,6.84,1.9,1.37,19.98,0.0,0,0,0,0,0,,35356
1558724,"Luis Robert",5200,DET,OF,CHW,92782,1051903,4.2,0.65,0.19,0.01,0.18,0.58,0.61,0.031,0.22,0,0,0,0,0,0,0,0,8.1,7.72,1.03,CHW,1.78,0,0.8772,2.22,,48,7.72,1.48,1.66,22.15,0.0,0,0,0,0,0,,1558724
37999,"Eloy Jimenez",4400,DET,OF,CHW,92782,830373,4.07,0.63,0.14,0,0.2,0.55,0.63,0.009,0.33,0,0,0,0,0,0,0,0,8.08,7.62,0.97,CHW,1.71,0,0.8772,2.15,,49,7.62,1.73,1.65,22.22,0.0,0,0,0,0,0,,37999
35706,"Yoan Moncada",4200,DET,3B,CHW,92782,864590,4.02,0.41,0.17,0.02,0.11,0.53,0.52,0.015,0.5,0,0,0,0,0,0,0,0,7.12,6.47,0.71,CHW,1.25,0,1.0461,1.76,,50,6.47,1.54,1.27,19.26,0.0,0,0,0,0,0,,35706
2038711,"Andrew Vaughn",3500,DET,1B,CHW,92782,1159930,3.9,0.53,0.16,0,0.13,0.52,0.5,0.002,0.32,0,0,0,0,0,0,0,0,6.85,6.38,0.82,CHW,1.37,0,0.7002,1.84,,51,6.38,1.82,0.95,18.82,0.0,0,0,0,0,0,,2038711
13483,"Yasmani Grandal",3800,DET,C,CHW,92782,392198,3.87,0.39,0.1,0,0.13,0.49,0.48,0.005,0.65,0,0,0,0,0,0,0,0,6.93,6.2,0.62,CHW,1.11,0,0.8277,1.59,,52,6.2,1.63,1.72,17.13,0.0,0,0,0,0,0,,13483
2440836,"Gavin Sheets",2600,DET,1B/OF,CHW,92782,829797,3.54,0.38,0.12,0,0.17,0.48,0.43,0.006,0.35,0,0,0,0,0,0,0,0,6.45,5.99,0.67,CHW,1.3,0,0.7253,1.58,,53,5.99,2.3,0.94,18.01,0.0,0,0,0,0,0,,2440836
10476,"Elvis Andrus",2800,DET,2B/SS,CHW,92782,291792,3.64,0.56,0.13,0.01,0.07,0.45,0.39,0.035,0.25,0,0,0,0,0,0,0,0,5.86,5.52,0.77,CHW,1.13,0,0.5388,1.61,,54,5.52,1.97,1.47,15.13,0.0,0,0,0,0,0,,10476
498052,"Kevin Newman",2400,MIL,2B/3B,CIN,92787,827183,4.75,0.78,0.2,0.02,0.06,0.58,0.56,0.043,0.29,0,0,0,0,0,0,0,0,7.64,7.19,1.06,CIN,1.48,0,0.6124,2.2,,55,7.19,3,1.5,19.89,11.73,0.0414,0.0203,0.0845,-0.0431,1.2,,498052
4738878,"Matt McLain",4500,MIL,SS,CIN,92787,1118776,4.55,0.53,0.15,0.01,0.13,0.58,0.57,0.038,0.55,0,0,0,0,0,0,0,0,7.97,7.3,0.82,CIN,1.38,0,1.2207,1.97,,56,7.3,1.62,1.42,21.43,7.33,0.0414,0.0203,0.0845,-0.0431,1.2,,4738878
2039490,"Jonathan India",5500,MIL,2B,CIN,92787,875832,4.44,0.63,0.2,0.01,0.17,0.61,0.65,0.048,0.56,0,0,0,0,0,0,0,0,9.26,8.54,1.01,CIN,1.74,0,0.9692,2.27,,57,8.54,1.55,2.53,22.41,9.38,0.0414,0.0203,0.0845,-0.0431,1.2,,2039490
1232642,"Jake Fraley",4600,MIL,OF,CIN,92787,857756,4.32,0.58,0.13,0,0.27,0.61,0.75,0.101,0.68,0,0,0,0,0,0,0,0,10.4,9.69,0.98,CIN,1.92,0,0.9577,2.34,,58,9.69,2.11,2.99,24.97,19.49,0.0414,0.0203,0.0845,-0.0431,1.2,,1232642
3769530,"Spencer Steer",3900,MIL,1B,CIN,92787,918663,4.32,0.58,0.23,0.02,0.16,0.61,0.63,0.013,0.45,0,0,0,0,0,0,0,0,8.7,8.04,0.99,CIN,1.74,0,0.9611,2.23,,59,8.04,2.06,1.77,21.97,4.95,0.0414,0.0203,0.0845,-0.0431,1.2,,3769530
873104,"Nick Senzel",4400,MIL,3B/OF,CIN,92787,873264,4.21,0.62,0.14,0,0.08,0.51,0.48,0.061,0.41,0,0,0,0,0,0,0,0,7.04,6.55,0.84,CIN,1.22,0,0.8154,1.83,,60,6.55,1.49,1.4,17.8,3.41,0.0414,0.0203,0.0845,-0.0431,1.2,,873104
2039492,"Stuart Fairchild",2500,MIL,OF,CIN,92787,829822,3.66,0.41,0.21,0.02,0.12,0.5,0.46,0.051,0.43,0,0,0,0,0,0,0,0,7.22,6.64,0.76,CIN,1.37,0,1.0171,1.72,,61,6.64,2.66,0.66,21.4,3.94,0.0414,0.0203,0.0845,-0.0431,1.2,,2039492
3673261,"Will Benson",2300,MIL,OF,CIN,92787,917927,3.8,0.46,0.1,0.01,0.14,0.48,0.43,0.015,0.45,0,0,0,0,0,0,0,0,6.65,6.12,0.71,CIN,1.25,0,1.0909,1.62,,62,6.12,2.66,0.61,17.73,2.39,0.0414,0.0203,0.0845,-0.0431,1.2,,3673261
15040,"Curt Casali",2200,MIL,C,CIN,92787,545020,3.49,0.43,0.12,0,0.1,0.42,0.36,0.013,0.44,0,0,0,0,0,0,0,0,5.9,5.35,0.65,CIN,1.07,0,1.033,1.43,,63,5.35,2.43,1.13,16.04,3.97,0.0414,0.0203,0.0845,-0.0431,1.2,,15040
