PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
3409991,"Seiya Suzuki",3200,SDP,OF,CHC,92834,167012,4.47,0.63,0.22,0.01,0.16,0.51,0.58,0.012,0.56,0,0,0,0,0,0,0,0,8.81,8.04,1.02,SDP,1.74,0,0.9133,2.11,,40,10.63,3.32,3.49,27.2,0.0,0,0,0,0,0,,3409991
17649,"Trey Mancini",2700,SDP,1B/OF,CHC,92834,53401,4.42,0.55,0.19,0,0.16,0.49,0.52,0.001,0.51,0,0,0,0,0,0,0,0,7.97,7.27,0.9,SDP,1.57,0,0.9643,1.91,,41,9.66,3.58,2.58,25.66,0.0,0,0,0,0,0,,17649
37230,"Mike Tauchman",2400,SDP,OF,CHC,92834,80847,4.27,0.52,0.12,0,0.08,0.41,0.39,0.018,0.56,0,0,0,0,0,0,0,0,6.48,5.82,0.72,SDP,1.08,0,0.9449,1.52,,42,7.77,3.24,2.01,20.6,0.0,0,0,0,0,0,,37230
16166,"Patrick Wisdom",3300,SDP,3B/OF,CHC,92834,85260,4.16,0.3,0.16,0,0.22,0.5,0.42,0.008,0.46,0,0,0,0,0,0,0,0,7.24,6.63,0.68,SDP,1.5,0,1.2946,1.6,,43,8.94,2.71,0.89,24.8,0.0,0,0,0,0,0,,16166
13463,"Yan Gomes",2900,SDP,C,CHC,92834,16981,4.13,0.59,0.16,0,0.19,0.47,0.43,0.004,0.23,0,0,0,0,0,0,0,0,7.18,6.79,0.94,SDP,1.67,0,0.7064,1.84,,44,8.8,3.03,1.89,24.06,0.0,0,0,0,0,0,,13463
2441503,"Christopher Morel",3500,SDP,OF/3B,CHC,92834,119318,3.89,0.39,0.18,0.01,0.21,0.47,0.42,0.014,0.45,0,0,0,0,0,0,0,0,7.54,6.94,0.79,SDP,1.62,0,1.0882,1.68,,45,9.21,2.63,2.53,27.93,0.0,0,0,0,0,0,,2441503
35086,"Tim Anderson",3000,DET,SS,CHW,92827,60672,4.56,0.9,0.2,0.01,0.1,0.56,0.61,0.044,0.24,0,0,0,0,0,0,0,0,8.23,7.83,1.21,CHW,1.73,0,0.8471,2.38,,46,10.1,3.37,3.05,26.54,6.24,0.0406,0.0246,0.0469,-0.0063,4.3,,35086
2440835,"Jake Burger",3300,DET,3B,CHW,92827,82570,4.41,0.52,0.16,0.02,0.19,0.59,0.56,0.011,0.31,0,0,0,0,0,0,0,0,7.85,7.39,0.89,CHW,1.66,0,1.0503,2.04,,47,9.82,2.98,1.17,29.1,3.71,0.0406,0.0246,0.0469,-0.0063,4.3,,2440835
1558724,"Luis Robert",3500,DET,OF,CHW,92827,82734,4.32,0.7,0.23,0.01,0.22,0.61,0.67,0.036,0.32,0,0,0,0,0,0,0,0,9.41,8.89,1.16,CHW,2.07,0,0.9344,2.44,,48,11.64,3.33,3.32,30.23,8.83,0.0406,0.0246,0.0469,-0.0063,4.3,,1558724
37999,"Eloy Jimenez",3400,DET,OF,CHW,92827,79093,4.19,0.62,0.15,0,0.19,0.55,0.61,0.009,0.44,0,0,0,0,0,0,0,0,8.42,7.84,0.96,CHW,1.68,0,0.9148,2.12,,49,10.4,3.06,2.64,27.49,5.0,0.0406,0.0246,0.0469,-0.0063,4.3,,37999
2038711,"Andrew Vaughn",3300,DET,1B,CHW,92827,119495,4.11,0.56,0.2,0,0.14,0.54,0.56,0.003,0.44,0,0,0,0,0,0,0,0,7.84,7.2,0.9,CHW,1.52,0,0.742,2,,50,9.6,2.91,2.53,25.62,1.96,0.0406,0.0246,0.0469,-0.0063,4.3,,2038711
13483,"Yasmani Grandal",2700,DET,C,CHW,92827,13303,4.07,0.49,0.11,0,0.16,0.5,0.55,0.006,0.76,0,0,0,0,0,0,0,0,8.07,7.21,0.76,CHW,1.35,0,0.8448,1.81,,51,9.81,3.63,2.71,27.11,4.24,0.0406,0.0246,0.0469,-0.0063,4.3,,13483
37235,"Clint Frazier",2200,DET,OF,CHW,92827,52150,3.7,0.39,0.13,0.01,0.07,0.44,0.4,0.017,0.63,0,0,0,0,0,0,0,0,6.42,5.67,0.6,CHW,0.96,0,1.0043,1.44,,52,7.75,3.52,2.25,20.31,2.42,0.0406,0.0246,0.0469,-0.0063,4.3,,37235
3063544,"Romy Gonzalez",2900,DET,2B/OF,CHW,92827,161418,3.73,0.49,0.17,0.03,0.11,0.49,0.39,0.015,0.18,0,0,0,0,0,0,0,0,6.18,5.85,0.8,CHW,1.36,0,1.1532,1.68,,53,7.67,2.64,0.97,22.41,1.73,0.0406,0.0246,0.0469,-0.0063,4.3,,3063544
10476,"Elvis Andrus",2500,DET,SS/2B,CHW,92827,5359,3.74,0.55,0.15,0.01,0.09,0.46,0.39,0.034,0.31,0,0,0,0,0,0,0,0,6.21,5.79,0.8,CHW,1.24,0,0.6053,1.65,,54,7.61,3.04,2.03,20.86,2.43,0.0406,0.0246,0.0469,-0.0063,4.3,,10476
498052,"Kevin Newman",2900,MIL,SS,CIN,92824,79218,4.71,0.81,0.23,0.01,0.04,0.6,0.6,0.059,0.31,0,0,0,0,0,0,0,0,7.88,7.39,1.09,CIN,1.46,0,0.5219,2.29,,55,9.7,3.34,2.67,24.83,5.29,0.0173,0.0089,0.0597,-0.0424,1,,498052
4738878,"Matt McLain",3300,MIL,SS,CIN,92824,165507,4.52,0.55,0.18,0.01,0.07,0.57,0.57,0.053,0.59,0,0,0,0,0,0,0,0,7.81,7.09,0.81,CIN,1.22,0,1.0447,1.95,,56,9.6,2.91,2.64,25.8,2.7,0.0173,0.0089,0.0597,-0.0424,1,,4738878
2039490,"Jonathan India",3400,MIL,2B,CIN,92824,102308,4.4,0.65,0.23,0.01,0.09,0.6,0.64,0.067,0.6,0,0,0,0,0,0,0,0,8.96,8.19,0.98,CIN,1.5,0,0.8289,2.22,,57,10.96,3.22,4,27.79,10.35,0.0173,0.0089,0.0597,-0.0424,1,,2039490
1232642,"Jake Fraley",3200,MIL,OF,CIN,92824,102591,4.28,0.64,0.21,0,0.11,0.58,0.68,0.145,0.65,0,0,0,0,0,0,0,0,9.31,8.6,0.96,CIN,1.5,0,0.7975,2.22,,58,11.51,3.6,4.25,28.56,8.43,0.0173,0.0089,0.0597,-0.0424,1,,1232642
