,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Luis Cessa (28221045),Luis Cessa,28221045,P,5600,MIL@CIN 06/05/2023 07:10PM ET,CIN,-0.41
,,,,,,,,,,,SS,Bobby Witt Jr. (28220347),Bobby Witt Jr.,28220347,SS,5600,KC@MIA 06/05/2023 06:40PM ET,KC,8.86
,,,,,,,,,,,OF,Adolis Garcia (28220348),Adolis Garcia,28220348,OF,5500,STL@TEX 06/05/2023 08:05PM ET,TEX,9.63
,,,,,,,,,,,SS,Bo Bichette (28220349),Bo Bichette,28220349,SS,5500,HOU@TOR 06/05/2023 07:07PM ET,TOR,9.17
,,,,,,,,,,,RP,Connor Overton (28221046),Connor Overton,28221046,P,5500,MIL@CIN 06/05/2023 07:10PM ET,CIN,-0.28
,,,,,,,,,,,SS,Oneil Cruz (28220562),Oneil Cruz,28220562,SS,5500,OAK@PIT 06/05/2023 07:05PM ET,PIT,9.33
,,,,,,,,,,,3B,Nolan Arenado (28220352),Nolan Arenado,28220352,3B,5400,STL@TEX 06/05/2023 08:05PM ET,STL,7.75
,,,,,,,,,,,1B,Vladimir Guerrero Jr. (28220351),Vladimir Guerrero Jr.,28220351,1B,5400,HOU@TOR 06/05/2023 07:07PM ET,TOR,8.44
,,,,,,,,,,,RP,Zach Thompson (28221049),Zach Thompson,28221049,P,5400,HOU@TOR 06/05/2023 07:07PM ET,TOR,0
,,,,,,,,,,,2B,Jonathan India (28220353),Jonathan India,28220353,2B,5400,MIL@CIN 06/05/2023 07:10PM ET,CIN,9.08
,,,,,,,,,,,SP,Spencer Turnbull (28221050),Spencer Turnbull,28221050,P,5400,DET@PHI 06/05/2023 06:40PM ET,DET,5.54
,,,,,,,,,,,SP,James Kaprielian (28221051),James Kaprielian,28221051,P,5400,OAK@PIT 06/05/2023 07:05PM ET,OAK,4.9
,,,,,,,,,,,SP,Jameson Taillon (28221047),Jameson Taillon,28221047,P,5400,CHC@SD 06/05/2023 09:10PM ET,CHC,7.23
,,,,,,,,,,,OF,Jorge Soler (28220350),Jorge Soler,28220350,OF,5400,KC@MIA 06/05/2023 06:40PM ET,MIA,8.41
,,,,,,,,,,,C,Salvador Perez (28220354),Salvador Perez,28220354,C,5400,KC@MIA 06/05/2023 06:40PM ET,KC,8.04
,,,,,,,,,,,SP,Brady Singer (28221048),Brady Singer,28221048,P,5400,KC@MIA 06/05/2023 06:40PM ET,KC,9.9
,,,,,,,,,,,3B,Josh Jung (28220355),Josh Jung,28220355,3B,5300,STL@TEX 06/05/2023 08:05PM ET,TEX,9.13
,,,,,,,,,,,OF,Bryan Reynolds (28220356),Bryan Reynolds,28220356,OF,5300,OAK@PIT 06/05/2023 07:05PM ET,PIT,9.02
,,,,,,,,,,,RP,Robert Suarez (28221052),Robert Suarez,28221052,P,5300,CHC@SD 06/05/2023 09:10PM ET,SD,0
,,,,,,,,,,,2B,Nolan Gorman (28220358),Nolan Gorman,28220358,2B,5200,STL@TEX 06/05/2023 08:05PM ET,STL,8.82
,,,,,,,,,,,3B,Alex Bregman (28220359),Alex Bregman,28220359,3B,5200,HOU@TOR 06/05/2023 07:07PM ET,HOU,7.85
,,,,,,,,,,,SP,Ranger Suarez (28221053),Ranger Suarez,28221053,P,5200,DET@PHI 06/05/2023 06:40PM ET,PHI,9.34
,,,,,,,,,,,SP,Dylan Covey (28221055),Dylan Covey,28221055,P,5200,DET@PHI 06/05/2023 06:40PM ET,PHI,4.26
,,,,,,,,,,,RP,Hogan Harris (28221054),Hogan Harris,28221054,P,5200,OAK@PIT 06/05/2023 07:05PM ET,OAK,6.28
,,,,,,,,,,,SS,Xander Bogaerts (28220357),Xander Bogaerts,28220357,SS,5200,CHC@SD 06/05/2023 09:10PM ET,SD,7.32
