P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-102408:Matthew Liberatore,91073-102408,P,Matthew,Matthew Liberatore,Liberatore,16,3,7700,STL@TEX,STL,TEX,,,,,0,P
"","","","","","","","","","",91073-101838:JT Brubaker,91073-101838,P,JT,JT Brubaker,Brubaker,24.928571428571427,28,7700,OAK@PIT,PIT,OAK,IL,Elbow,,,0,P
"","","","","","","","","","",91073-165636:Hayden Wesneski,91073-165636,P,Hayden,Hayden Wesneski,Wesneski,20,10,7700,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-165642:Mason Miller,91073-165642,P,Mason,Mason Miller,Miller,28.5,4,7700,OAK@PIT,OAK,PIT,IL,Elbow,,,0,P
"","","","","","","","","","",91073-102333:Daniel Lynch,91073-102333,P,Daniel,Daniel Lynch,Lynch,27.5,2,7700,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-119391:Roansy Contreras,91073-119391,P,Roansy,Roansy Contreras,Contreras,21.636363636363637,11,7600,OAK@PIT,PIT,OAK,,,,,0,P
"","","","","","","","","","",91073-12918:Julio Teheran,91073-12918,P,Julio,Julio Teheran,Teheran,27.5,2,7600,MIL@CIN,MIL,CIN,,,,Yes,,P
"","","","","","","","","","",91073-165508:Graham Ashcraft,91073-165508,P,Graham,Graham Ashcraft,Ashcraft,19.5,12,7600,MIL@CIN,CIN,MIL,,,,,,P
"","","","","","","","","","",91073-79133:Matt Manning,91073-79133,P,Matt,Matt Manning,Manning,22,3,7500,DET@PHI,DET,PHI,IL,Foot,,,0,P
"","","","","","","","","","",91073-82573:Alex Faedo,91073-82573,P,Alex,Alex Faedo,Faedo,24.4,5,7500,DET@PHI,DET,PHI,IL,Finger,,,0,P
