,Player Name,Pos,Salary,Team,Opp,Proj FP,Actual FP,Batting Order (Confirmed)
408,Kevin Smith,SS,2100,OAK,@LAA,6.9,24.9,8
416,Emmanuel Rivera,3B,2000,ARI,KC,10.4,12.7,2
418,Jose Herrera,C,2000,ARI,KC,6.0,0.0,9
419,Freddy Fermin,C,2000,KC,@ARI,6.4,0.0,7
423,Brian Serven,C,2000,COL,@CLE,5.6,0.0,9
426,Terrin Vavra,SS,2000,BAL,BOS,6.5,0.0,9
427,Brenton Doyle,OF,2000,COL,@CLE,6.9,0.0,7
431,Ryan O'Hearn,1B,2000,BAL,BOS,7.5,6.2,7
435,Enmanuel Valdez,3B,2000,BOS,@BAL,7.2,0.0,8
438,Willi Castro,3B,2000,MIN,NYY,7.3,6.0,9
440,Cameron Gallagher,C,2000,CLE,COL,5.4,0.0,9
458,Garrett Hampson,2B,2000,MIA,@ATL,6.6,0.0,9
469,Nelson Velazquez,OF,2000,CHC,SD,7.7,9.0,9
473,Austin Slater,OF,2000,SF,STL,10.8,21.5,1
488,Austin Wynns,C,2000,LAD,@PIT,6.3,3.0,9
